Date,Expense/Income,Category,Payment Method,Amount,Balance
2025-02-12 18:57:57,Expense,Food,Cash,200.0,9800.0
2025-02-12 18:58:08,Income,Salary,Bank to Bank,1000.0,10800.0
2025-02-12 18:58:19,Income,Freelance,Bank to Bank,250.0,11050.0
2025-02-12 18:58:42,Expense,Transport,Cash,250.0,10800.0
2025-02-12 18:59:06,Expense,Food,UPI,270.0,10530.0
2025-02-12 18:59:34,Expense,Food,Cash,100.0,10430.0
2025-02-13 17:39:14,Expense,Bills,UPI,650.0,9350.0
2025-02-13 17:39:21,Income,Gifts,Bank to Bank,2560.0,11910.0
2023-12-01 02:30:13,Income,Investments,Cash,3870.56,15780.56
2023-01-15 17:58:17,Expense,Transport,Bank to Bank,3162.77,12617.79
2023-07-22 11:22:01,Expense,Travel,Credit Card,4569.9,8047.89
2024-01-04 20:26:14,Expense,Travel,UPI,473.67,7574.22
2023-03-11 20:29:25,Income,Investments,Bank to Bank,4471.44,12045.66
2023-02-27 16:48:04,Income,Freelance,Mobile Wallet,1158.43,13204.09
2023-04-02 13:02:51,Income,Rental Income,Other,4031.48,17235.57
2023-10-11 07:17:00,Expense,Housing,Credit Card,4237.84,12997.73
2023-01-29 14:17:04,Expense,Transport,UPI,3590.35,9407.38
2023-06-14 20:35:34,Income,Gifts,Other,2558.1,11965.48
2023-06-01 19:23:33,Expense,Bills,Bank to Bank,688.66,11276.82
2024-01-24 23:04:12,Income,Gifts,Cash,3472.09,14748.91
2023-06-18 11:54:51,Income,Freelance,Other,3061.21,17810.12
2023-07-20 13:36:54,Expense,Entertainment,Bank to Bank,1810.02,16000.1
2023-09-03 10:20:30,Income,Other,Other,2988.51,18988.61
2023-08-28 07:53:37,Expense,Travel,UPI,3514.73,15473.88
2024-01-02 19:44:46,Expense,Education,Mobile Wallet,2886.27,12587.61
2023-06-10 13:49:07,Expense,Travel,Credit Card,2661.67,9925.94
2023-08-11 01:32:12,Expense,Housing,Debit Card,823.11,9102.83
2023-07-21 16:01:52,Income,Gifts,Debit Card,3322.99,12425.82
2024-02-04 15:56:32,Income,Other,Debit Card,3050.81,15476.63
2023-11-16 08:04:01,Expense,Entertainment,Debit Card,2482.85,12993.78
2023-05-23 04:54:06,Expense,Bills,Bank to Bank,3636.01,9357.77
2023-03-04 20:26:16,Income,Investments,Credit Card,2198.43,11556.2
2023-07-09 15:33:08,Expense,Entertainment,Mobile Wallet,1186.01,10370.19
2023-01-07 00:55:29,Income,Business Income,UPI,3292.2,13662.39
2024-01-23 16:49:02,Income,Salary,Mobile Wallet,3434.1,17096.49
2023-03-21 15:08:48,Income,Gifts,Bank to Bank,968.24,18064.73
2023-12-31 22:52:03,Expense,Shopping,Mobile Wallet,1053.4,17011.33
2024-01-01 03:49:50,Income,Other,Cash,1107.63,18118.96
2023-08-08 14:35:37,Income,Salary,UPI,3382.68,21501.64
2024-01-06 20:52:58,Income,Investments,Mobile Wallet,3918.77,25420.41
2023-10-09 14:30:52,Expense,Travel,Debit Card,2988.93,22431.48
2023-11-06 18:17:59,Expense,Transport,Debit Card,745.36,21686.12
2023-08-22 03:18:26,Expense,Bills,Debit Card,2638.04,19048.08
2023-03-23 04:51:28,Expense,Travel,Debit Card,479.95,18568.13
2023-04-12 03:20:49,Income,Gifts,Mobile Wallet,355.92,18924.05
2023-04-02 23:09:52,Income,Other,Mobile Wallet,4780.79,23704.84
2023-07-09 17:18:28,Expense,Education,Credit Card,1753.34,21951.5
2023-05-01 18:09:25,Income,Salary,Credit Card,124.37,22075.87
2023-10-01 01:00:43,Income,Other,Cash,4137.85,26213.72
2023-08-29 14:12:44,Expense,Travel,Bank to Bank,4521.09,21692.63
2023-01-21 04:04:14,Expense,Shopping,Other,1946.4,19746.23
2023-05-06 19:30:26,Expense,Travel,Bank to Bank,3070.0,16676.23
2023-09-15 01:37:00,Income,Investments,Other,3527.73,20203.96
2023-01-21 14:24:46,Income,Investments,UPI,3615.67,23819.63
2023-08-11 11:54:53,Expense,Transport,Other,3975.48,19844.15
2023-07-08 07:05:17,Expense,Education,Credit Card,1456.23,18387.92
2023-01-31 04:09:50,Expense,Education,Cash,4633.93,13753.99
2023-11-19 13:25:41,Income,Gifts,Debit Card,2603.34,16357.33
2023-09-13 05:52:09,Income,Rental Income,Other,3832.55,20189.88
2023-12-16 06:22:06,Expense,Transport,Mobile Wallet,1460.69,18729.19
2023-10-04 15:58:24,Income,Business Income,UPI,2912.03,21641.22
2023-10-15 07:39:32,Income,Gifts,Bank to Bank,4124.0,25765.22
2023-08-26 23:38:18,Income,Other,Debit Card,1777.18,27542.4
2024-01-05 06:01:25,Expense,Bills,UPI,1164.82,26377.58
2023-07-05 13:30:01,Expense,Food,Debit Card,3601.14,22776.44
2023-12-30 12:24:14,Expense,Food,Bank to Bank,3959.34,18817.1
2024-01-12 22:55:09,Income,Salary,Cash,1760.65,20577.75
2023-09-17 00:16:59,Income,Rental Income,Debit Card,4816.32,25394.07
2023-11-17 07:00:11,Expense,Miscellaneous,Mobile Wallet,4445.35,20948.72
2023-08-01 19:08:05,Income,Salary,Debit Card,2326.73,23275.45
2023-03-21 23:46:35,Income,Rental Income,Bank to Bank,4447.5,27722.95
2023-01-09 12:50:20,Expense,Entertainment,Other,3981.9,23741.05
2023-08-06 16:23:30,Income,Rental Income,Other,3097.45,26838.5
2023-04-21 15:29:25,Expense,Entertainment,Other,4206.64,22631.86
2023-03-25 23:20:16,Income,Business Income,Cash,4968.61,27600.47
2023-05-02 09:56:49,Income,Other,Other,3258.3,30858.77
2023-09-18 02:34:14,Expense,Travel,Other,4212.36,26646.41
2023-11-02 21:29:18,Expense,Education,Cash,419.95,26226.46
2023-11-02 12:24:48,Expense,Food,Cash,1226.14,25000.32
2023-02-26 12:43:02,Income,Gifts,UPI,4206.38,29206.7
2023-08-17 00:06:31,Income,Rental Income,Bank to Bank,4909.82,34116.52
2023-12-25 00:57:16,Expense,Shopping,Other,940.48,33176.04
2024-01-27 19:53:44,Expense,Bills,Mobile Wallet,4053.5,29122.54
2023-09-01 22:38:52,Expense,Food,Debit Card,776.37,28346.17
2023-02-16 08:11:09,Expense,Shopping,Cash,937.86,27408.31
2023-05-16 13:22:13,Expense,Travel,Bank to Bank,686.9,26721.41
2023-07-06 11:33:23,Expense,Miscellaneous,Debit Card,4444.6,22276.81
2023-03-18 04:49:45,Expense,Transport,Mobile Wallet,2381.01,19895.8
2023-12-16 11:00:15,Expense,Bills,Cash,1600.97,18294.83
2023-05-25 03:02:35,Income,Rental Income,Cash,4626.9,22921.73
2023-01-06 16:45:59,Expense,Bills,Bank to Bank,4120.8,18800.93
2023-10-04 01:12:59,Expense,Housing,UPI,1532.15,17268.78
